date,preclose,open,high,low,close,volume,amount,chg,chg.per
20100716,3735.395,3713.659,3764.835,3672.02,3757.432,2798721100,27600903233,22.037,0.59
20100719,3757.432,3718.13,3848.631,3701.931,3842.313,3507423600,35450370675,84.881,2.259
20100720,3842.313,3849.042,3951.542,3848.741,3951.358,5268350400,53568899401,109.045,2.838
20100721,3951.358,3953.773,4001.427,3937.484,3959.427,5204248800,53476581398,8.069,0.2042
20100722,3959.427,3947.994,4018.056,3940.463,4017.864,4617888300,47106980662,58.437,1.4759
20100723,4017.864,4020.914,4028.513,3965.704,4015.467,4471046200,46308730057,-2.397,-0.0597
20100726,4015.467,4023.064,4071.47,4011.746,4071.094,4385787200,45616827287,55.627,1.3853
20100727,4071.094,4062.251,4091.312,4041.898,4068.864,4106628300,44196726341,-2.23,-0.0548
20100728,4068.864,4061.019,4162.66,4050.187,4162.321,5790200700,60592221791,93.457,2.2969
20100729,4162.321,4170.762,4196.026,4139.942,4194.04,6274903600,65227335259,31.719,0.7621
20100730,4194.04,4181.218,4203.643,4137.235,4191.13,4729828900,50667632330,-2.91,-0.0694
20100802,4191.13,4192.66,4268.395,4192.523,4267.895,5427313500,59062482231,76.765,1.8316
20100803,4267.895,4277.27,4289.459,4193.298,4193.641,5940590400,64726165563,-74.254,-1.7398
20100804,4193.641,4178.191,4248.234,4137.646,4248.014,5468676200,58648962922,54.373,1.2966
20100805,4248.014,4247.05,4306.648,4231.469,4267.955,5841457800,63443746766,19.941,0.4694
20100806,4267.955,4260.63,4356.213,4228.669,4356.012,6369627500,70480316869,88.057,2.0632
20100809,4356.012,4357.182,4414.526,4352.923,4413.568,5999110400,68485215594,57.556,1.3213
20100810,4413.568,4412.268,4417.203,4246.46,4246.46,6248551200,70276303657,-167.108,-3.7862
20100811,4246.46,4230.353,4309.788,4230.353,4297.904,4263884600,48885246287,51.444,1.2115
20100812,4297.904,4248.984,4317.946,4228.531,4241.592,4532665300,50452832153,-56.312,-1.3102
20100813,4241.592,4240.495,4323.248,4212.205,4323.052,4184958500,47223939591,81.46,1.9205
20100816,4323.052,4322.02,4429.902,4315.022,4423.315,5625259300,64397295510,100.263,2.3193
20100817,4423.315,4436.376,4470.457,4414.214,4457.759,5691170200,65233930026,34.444,0.7787
20100818,4457.759,4462.578,4475.923,4409.594,4457.127,5689720800,66186523274,-0.632,-0.0142
20100819,4457.127,4456.274,4491.738,4423.987,4461.488,5931286200,69453948181,4.361,0.0978
20100820,4461.488,4442.693,4444.851,4350.155,4366.604,5829874700,67406500780,-94.884,-2.1267
20100823,4366.604,4363.169,4416.826,4362.72,4404.718,4853665600,57536487541,38.114,0.8729
20100824,4404.718,4401.523,4476.262,4370.569,4456.497,5469966300,61869732806,51.779,1.1755
20100825,4456.497,4428.36,4457.837,4364.061,4368.304,5428539800,61248578213,-88.193,-1.979
20100826,4368.304,4376.923,4415.836,4355.032,4399.284,4240153800,49385699907,30.98,0.7092
20100827,4399.284,4393.99,4437.794,4375.391,4431.444,3694988900,44850459127,32.16,0.731
20100830,4431.444,4453.05,4553.398,4453.05,4553.023,5541290600,68586090938,121.579,2.7436
20100831,4553.023,4541.767,4605.176,4529.735,4589.289,5906349100,74996655162,36.266,0.7965
20100901,4589.289,4595.208,4613.088,4473.568,4530.229,6464895300,81001129824,-59.06,-1.2869
20100902,4530.229,4562.431,4631,4545.787,4625.395,6512640000,79502107728,95.166,2.1007
20100903,4625.395,4632.26,4671.343,4596.122,4662.96,6759264100,83823849428,37.565,0.8121
